ID,Yiyecek adı,Miktar (1 porsiyon) gram,Kap Numarası,Renk,"Kıvam","Fiyat",Enerji,Protein,"Yağ",Karbonhidrat,Lif
1,Et haşlama,100,1,Kahverengi,"Yumuşak","a",137.4,13.5,"8.9",0.8,0.2
2,Et kızartma,150,1,Kahverengi,"Katı","a",257.8,42.5,"9.6",0.0,0.0
3,Rosto et(patatesli),160,1,kahverengi,"katı","a",193.1,16.6,"8.3",12.4,1.0
4,Misket köfte,150,1,kahverengi,"yumuşak","b",303.3,29.5,"20.4",0.7,0.0
5,Fırın Köfte,150,1,kırmızı,"katı","b",279.6,23.3,"14.6",13.7,1.2
6,Kadınbudu Köfte,100,1,kahverengi,"katı","b",176.6,9.5,"12.2",7.5,0.4
7,Terbiyeli Köfte,250,1,kırmızı,"yumuşak","b",390.2,26.2,"24.3",16.6,1.1
8,İzmir Köfte,180,1,kahverengi,"katı","b",264.6,15.6,"12.7",21.4,1.7
9,Tekirdağ köfte,100,1,kahverengi,"katı","b",184.5,16.8,"11.0",4.7,0.6
10,Hindi Izgara Köfte,100,1,kahverengi,"katı","d",107.3,17.7,"2.3",3.8,0.4
11,Kaşarlı köfte,150,1,kahverengi,"katı","b",339.5,25.8,"24.4",4.6,0.5
12,Sulu köfte,180,1,kırmızı,"yumuşak","b",219.4,17.5,"11.8",10.9,1.3
13,Çiftlik köfte,190,1,kahverengi,"katı","b",251.1,14.7,"11.9",20.9,2.8
14,Izgara Köfte,100,1,kahverengi,"katı","b",199.8,16.2,"12.3",6.2,0.5
15,Döner kebap,300,1,kahverengi,"katı","a",342.0,18.4,"9.8",44.2,2.0
16,Cağ Kebabı,100,1,kahverengi,"katı","a",302.3,21.1,"24.2",0.0,0.0
17,Bahçıvan Kebabı,250,1,kırmızı,"yumuşak","a",283.2,26.0,"14.1",12.6,2.3
18,Patlıcan kebabı,150,1,kırmızı,"katı","a",171.7,11.7,"12.9",2.3,1.2
19,Ciğer Tas Kebabı,120,1,kahverengi,"katı","a",189.9,11.6,"11.2",10.6,0.7
20,İskender Kebabı,300,1,kahverengi,"katı","a",522.7,25.7,"24.7",48.2,3.7
21,Orman Kebabı,150,1,kırmızı,"yumuşak","a",199.3,11.7,"13.5",7.7,1.5
22,Tas kebabı,100,1,kahverengi,"yumuşak","a",138.6,9.8,"8.0",6.7,0.7
23,Tandır kebabı,150,1,kahverengi,"katı","a",293.6,22.5,"22.4",1.0,0.2
24,Tavuk Şiş Kebap,300,1,beyaz,"katı","d",304.0,41.6,"13.3",4.2,1.5
25,Kuzu Şiş Kebap,300,1,kahverengi,"katı","a",375.7,21.3,"24.6",17.6,3.1
26,Kuzu Pirzola,120,1,kahverengi,"katı","a",316.1,30.1,"21.9",0.0,0.0
27,Tavuk Pane,100,1,sarı,"katı","d",207.2,16.0,"7.5",18.7,1.1
28,Tavuk Haşlama,100,1,beyaz,"katı","d",188.3,25.9,"9.4",0.0,0.0
29,Tavuk Göğüs Şinitzel,100,1,sarı,"katı","d",207.2,16.0,"7.5",18.7,1.1
30,Tavuk Kanat (ızgara),120,1,kahverengi,"katı","d",273.6,26.1,"19.0",0.0,0.0
31,Buğu kebabı,250,1,kahverengi,"katı","a",320.9,24.4,"23.1",4.0,1.7
32,Tavuk ciğeri,90,1,kahverengi,"katı","d",142.7,22.9,"5.0",1.3,0.0
33,Fırında tavuk,200,1,kahverengi,"katı","d",211.8,37.6,"6.4",0.5,0.0
34,Kremalı Mantarlı Tavuk,180,1,sarı,"katı","d",185.0,27.6,"6.8",3.2,1.0
35,Köri SosluTavuk,180,1,sarı,"katı","d",229.7,26.2,"10.8",6.8,0.3
36,Sebzeli Tavuk Sote,180,1,kırmızı,"katı","d",110.6,16.0,"2.0",6.6,2.0
37,Tavuk sote,180,1,kahverengi,"katı","d",105.0,19.4,"0.8",4.5,1.6
38,Hamsi tava,150,1,kahverengi,"katı","d",180.3,35.5,"4.1",0.0,0.0
39,Fırında Levrek,150,1,beyaz,"katı","d",140.2,31.6,"1.3",0.0,0.0
40,Patatesli Yumurta,140,1,sarı,"katı","c",146.2,7.7,"6.3",14.1,1.2
41,Menemen,180,1,kırmızı,"yumuşak","c",216.0,8.4,"18.5",4.1,1.3
42,Etli Kış Türlüsü,180,1,kırmızı,"yumuşak","c",150.6,9.3,"8.2",9.7,3.2
43,Etli Yaz Türlüsü,180,1,kırmızı,"yumuşak","c",134.2,8.5,"7.3",8.4,2.0
44,Etli Bamya,200,1,kırmızı,"yumuşak","c",127.6,9.8,"8.5",2.8,1.7
45,Etli Taze Fasulye,180,1,kırmızı,"yumuşak","c",122.2,9.2,"6.6",6.3,2.4
46,Hünkar Beğendi,300,1,kırmızı,"yumuşak","b",299.7,19.9,"21.0",7.9,2.6
47,Sebzeli Etli Güveç,250,1,kırmızı,"yumuşak","b",143.4,14.7,"4.3",10.8,3.0
48,Patlıcan Musakka,180,1,kahverengi,"yumuşak","c",144.6,7.4,"11.0",4.0,2.0
49,Karnıyarık,180,1,kahverengi,"yumuşak","c",160.5,7.5,"12.7",4.1,2.1
50,Kıymalı Ispanak,180,1,yeşil,"yumuşak","c",128.2,8.9,"7.3",6.1,1.6
51,Kıymalı Bezelye,180,1,kırmızı,"yumuşak","c",208.2,15.3,"8.7",16.7,6.6
52,Kıymalı Karnabahar,180,1,kırmızı,"yumuşak","c",134.7,10.4,"8.7",3.6,3.9
53,Kıymalı Kapuska,180,1,kırmızı,"yumuşak","c",137.2,9.0,"8.5",6.0,4.1
54,Kıymalı Patates,180,1,kahverengi,"katı","c",202.6,10.2,"8.9",19.7,1.8
55,Etli Nohut,200,1,kırmızı,"yumuşak","c",211.3,14.9,"9.3",16.6,9.1
56,Etli Kuru Fasulye,200,1,kırmızı,"yumuşak","c",208.9,15.5,"8.5",17.3,3.3
57,"Etli Bamya ",200,1,kırmızı,"yumuşak","c",127.6,9.8,"8.5",2.8,1.7
58,Kıymalı Kabak Dolması,200,1,yeşil,"katı","c",145.8,9.9,"7.3",9.9,1.7
59,Kıymalı Biber Dolması,200,1,yeşil,"katı","c",183.1,11.7,"9.5",12.1,1.6
60,Etli Domates Dolması,225,1,kırmızı,"katı","c",162.4,5.6,"3.3",27.0,1.6
61,Etli lahana sarma,120,1,kırmızı,"katı","c",131.6,2.1,"7.2",14.7,2.1
62,Kıymalı Yaprak Sarma,100,1,yeşil,"katı","c",128.6,8.5,"7.8",6.4,0.7
63,Şehriyeli Güveç,200,1,kahverengi,"katı","c",291.1,20.9,"13.7",21.0,1.6
64,İçli Köfte,100,1,kahverengi,"katı","c",99.9,4.6,"3.7",11.8,1.9
